2025-01-13 12:23:06.996, Program Started
2025-01-13 12:23:07.129, .226000
2025-01-13 12:23:07.202, Z Accel:, 1021.567000
2025-01-13 12:23:07.261, X Accel:, -2.989000
2025-01-13 12:23:07.327, Y Accel:, 17.080000
2025-01-13 12:23:07.399, Z Accel:, 1022.604000
2025-01-13 12:23:07.465, X Accel:, -3.294000
2025-01-13 12:23:07.525, Y Accel:, 18.056000
2025-01-13 12:23:07.598, Z Accel:, 1021.323000
2025-01-13 12:23:07.664, X Accel:, -3.233000
2025-01-13 12:23:07.723, Y Accel:, 17.690000
2025-01-13 12:23:07.795, Z Accel:, 1022.543000
2025-01-13 12:23:07.861, X Accel:, -3.233000
2025-01-13 12:23:07.921, Y Accel:, 17.568000
2025-01-13 12:23:07.994, Z Accel:, 1021.262000
2025-01-13 12:23:08.061, X Accel:, -2.379000
2025-01-13 12:23:08.127, Y Accel:, 16.897000
2025-01-13 12:23:08.192, Z Accel:, 1021.506000
2025-01-13 12:23:08.259, X Accel:, -3.904000
2025-01-13 12:23:08.324, Y Accel:, 16.043000
2025-01-13 12:23:08.391, Z Accel:, 1020.652000
2025-01-13 12:23:08.457, X Accel:, -1.708000
2025-01-13 12:23:08.522, Y Accel:, 16.775000
2025-01-13 12:23:08.595, Z Accel:, 1021.933000
2025-01-13 12:23:08.655, X Accel:, -2.745000
2025-01-13 12:23:08.721, Y Accel:, 16.165000
2025-01-13 12:23:08.787, Z Accel:, -7.808000
2025-01-13 12:23:08.847, X Accel:, -1.403000
2025-01-13 12:23:08.912, Y Accel:, 18.117000
2025-01-13 12:23:08.984, Z Accel:, 1021.933000
2025-01-13 12:23:09.044, X Accel:, -2.196000
2025-01-13 12:23:09.111, Y Accel:, 18.056000
2025-01-13 12:23:09.183, Z Accel:, 1020.713000
2025-01-13 12:23:09.249, X Accel:, -3.904000
2025-01-13 12:23:09.309, Y Accel:, 16.836000
2025-01-13 12:23:09.375, Z Accel:, -7.442000
2025-01-13 12:23:09.441, X Accel:, -2.562000
2025-01-13 12:23:09.501, Y Accel:, 17.995000
2025-01-13 12:23:09.572, Z Accel:, 1021.201000
2025-01-13 12:23:09.639, X Accel:, -1.830000
2025-01-13 12:23:09.699, Y Accel:, 17.751000
2025-01-13 12:23:09.771, Z Accel:, 1021.872000
2025-01-13 12:23:09.837, X Accel:, -1.830000
2025-01-13 12:23:09.903, Y Accel:, 16.653000
2025-01-13 12:23:09.969, Z Accel:, 1021.689000
2025-01-13 12:23:10.034, X Accel:, -3.416000
2025-01-13 12:23:10.101, Y Accel:, 16.714000
2025-01-13 12:23:10.167, Z Accel:, 1021.872000
2025-01-13 12:23:10.233, X Accel:, -3.477000
2025-01-13 12:23:10.299, Y Accel:, 16.226000
2025-01-13 12:23:10.371, Z Accel:, 1022.482000
2025-01-13 12:23:10.431, X Accel:, -2.562000
2025-01-13 12:23:10.497, Y Accel:, 17.019000
2025-01-13 12:23:10.569, Z Accel:, 1019.798000
2025-01-13 12:23:10.629, X Accel:, -1.952000
2025-01-13 12:23:10.694, Y Accel:, 16.409000
2025-01-13 12:23:10.767, Z Accel:, 1020.774000
2025-01-13 12:23:10.833, X Accel:, -2.013000
2025-01-13 12:23:10.893, Y Accel:, 16.897000
2025-01-13 12:23:10.965, Z Accel:, 1021.567000
2025-01-13 12:23:11.031, X Accel:, -1.952000
2025-01-13 12:23:11.091, Y Accel:, 16.226000
2025-01-13 12:23:11.163, Z Accel:, 1021.628000
2025-01-13 12:23:11.228, X Accel:, -1.891000
2025-01-13 12:23:11.288, Y Accel:, 17.019000
2025-01-13 12:23:11.361, Z Accel:, 1020.530000
2025-01-13 12:23:11.427, X Accel:, -1.769000
2025-01-13 12:23:11.492, Y Accel:, 17.812000
2025-01-13 12:23:11.558, Z Accel:, 1021.628000
2025-01-13 12:23:11.625, X Accel:, -2.806000
2025-01-13 12:23:11.691, Y Accel:, 16.958000
2025-01-13 12:23:11.763, Z Accel:, 1020.896000
2025-01-13 12:23:11.824, X Accel:, -3.477000
2025-01-13 12:23:11.891, Y Accel:, 17.080000
2025-01-13 12:23:11.963, Z Accel:, 1021.079000
2025-01-13 12:23:12.023, X Accel:, -3.050000
